place_id,name,state,lga,lat,lon,use_for_reachability,anchor_source,anchor_status,anchor_lat,anchor_lon,road_snap_distance_m,road_snap_status,road_snap_highway,road_snap_road_name,input_lat,input_lon,gazetteer_type,gazetteer_lga,gazetteer_seen_types,area_sqkm,point_method,is_hub,place_type,loc_code,source,source_objectid,official_name_raw,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m,graph_component_id,hub_component_candidate_count,all_component_candidate_count,mainland_filter_reason,gazetteer_ref_number,input_to_anchor_distance_m,road_snap_lat,road_snap_lon,road_snap_search_radius_m,road_snap_edge_u,road_snap_edge_v,road_snap_edge_key,road_snap_osmid,road_snap_edge_length_m,road_snap_used_avoided_road_type
qld_locality_4426,Alligator Creek,QLD,Mackay Regional,-21.30565730,149.22805310,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-21.30565730,149.22805310,0.0,snapped_to_nearest_usable_road,,,-21.3056573,149.2280531,,,STRM,74.650291,road_node_inside_locality_hub_component,0,locality_road_representative_point,4426,qld_admin_boundaries_locality_boundary,70,Alligator Creek,1009427,-21.3073107,149.2267966,242.1,0,70,70,,,0.0,-21.30565730,149.22805310,50.0,1009427,1009423,0,,134.8,false
qld_locality_5614,Alligator Creek,QLD,Townsville City,-19.41356230,146.93584890,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-19.41356230,146.93584890,0.0,snapped_to_nearest_usable_road,,,-19.4135623,146.9358489,,,STRM,49.377108,road_node_inside_locality_hub_component,0,locality_road_representative_point,5614,qld_admin_boundaries_locality_boundary,71,Alligator Creek,741572,-19.4143721,146.9289310,776.0,0,92,92,,,0.0,-19.41356230,146.93584890,50.0,741567,741572,0,,720.8,false
qld_locality_53,Allora,QLD,Southern Downs Regional,-28.03556641,151.98032189,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-28.03556000,151.98028000,4.1,snapped_to_nearest_usable_road,,,-28.0149952,151.9865743,POPL,Southern Downs Regional,POPL;PRSH;LOCB,95.97758900000001,road_node_inside_locality_hub_component,0,locality_road_representative_point,53,qld_admin_boundaries_locality_boundary,72,Allora,2560137,-28.0175243,151.9870197,322.7,0,164,164,,416,2368.7,-28.03556641,151.98032189,50.0,2265408,2265428,0,,233.3,false
qld_locality_54,Alloway,QLD,Bundaberg Regional,-24.95227860,152.36213100,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-24.95227860,152.36213100,0.0,snapped_to_nearest_usable_road,,,-24.9522786,152.3621310,,,LOCB,72.791851,road_node_inside_locality_hub_component,0,locality_road_representative_point,54,qld_admin_boundaries_locality_boundary,73,Alloway,951232,-24.9533801,152.3629525,163.3,0,102,106,,,0.0,-24.95227860,152.36213100,50.0,951232,950273,0,,748.5,false
qld_locality_56,Almaden,QLD,Mareeba Shire,-17.33968400,144.67673830,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-17.34069136,144.67696003,113.8,snapped_to_nearest_usable_road,,,-17.4348227,144.6427079,POPL,Mareeba Shire,POPL;LOCB,792.183173,road_node_inside_locality_hub_component,0,locality_road_representative_point,56,qld_admin_boundaries_locality_boundary,74,Almaden,176064,-17.4327692,144.6469401,528.5,0,28,28,,447,11080.0,-17.33968400,144.67673830,200.0,177019,362899,0,,104.8,false
qld_locality_57,Aloomba,QLD,Cairns Regional,-17.10999297,145.83221833,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-17.11000000,145.83222000,0.8,snapped_to_nearest_usable_road,,,-17.1394670,145.8642290,POPL,Cairns Regional,POPL;LOCB,110.83246000000001,road_node_inside_locality_hub_component,0,locality_road_representative_point,57,qld_admin_boundaries_locality_boundary,75,Aloomba,291162,-17.1376086,145.8631998,244.9,0,59,59,,458,4722.9,-17.10999297,145.83221833,50.0,291117,291113,0,,119.1,false
qld_locality_58,Alpha,QLD,Barcaldine Regional,-23.65203790,146.63832837,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-23.65194000,146.63833000,11.0,snapped_to_nearest_usable_road,,,-23.5618333,146.8141759,POPL,Barcaldine Regional,POPL;PRSH;LOCB,12605.264324000002,road_node_inside_locality_hub_component,0,locality_road_representative_point,58,qld_admin_boundaries_locality_boundary,76,Alpha,794369,-23.5252308,146.7533249,8101.8,0,306,306,,462,20528.1,-23.65203790,146.63832837,50.0,797804,1295426,0,,257.6,false
qld_locality_59,Alva,QLD,Burdekin Shire,-19.45559842,147.48114751,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-19.45556000,147.48111000,5.8,snapped_to_nearest_usable_road,,,-19.4507540,147.4804013,POPL,Burdekin Shire,PRSH;POPL;LOCB,125.12588,road_node_inside_locality_hub_component,0,locality_road_representative_point,59,qld_admin_boundaries_locality_boundary,79,Alva,746705,-19.4108880,147.4596573,5241.9,0,27,27,,42894,539.5,-19.45559842,147.48114751,50.0,746682,746687,0,,98.8,false
qld_locality_3425,Amamoor,QLD,Gympie Regional,-26.34535623,152.67486734,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-26.34528000,152.67500000,15.6,snapped_to_nearest_usable_road,,,-26.3441373,152.6781872,POPL,Gympie Regional,POPL;PRSH;LOCB,34.531803,road_node_inside_locality_hub_component,0,locality_road_representative_point,3425,qld_admin_boundaries_locality_boundary,81,Amamoor,1988067,-26.3459391,152.6803972,332.6,0,60,60,,492,342.1,-26.34535623,152.67486734,50.0,1987759,1987737,0,,211.6,false
qld_locality_3587,Amberley,QLD,Ipswich City,-27.63037820,152.69913759,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.63028000,152.69944000,31.5,snapped_to_nearest_usable_road,,,-27.6319140,152.6998124,SUB,Ipswich City,SUB,26.1174,road_node_inside_locality_hub_component,0,locality_road_representative_point,3587,qld_admin_boundaries_locality_boundary,85,Amberley,2449455,-27.6304066,152.6980107,275.9,0,270,274,,45022,185.4,-27.63037820,152.69913759,50.0,2449455,2447419,0,,475.9,false
